step,signal
335,2.51605e+97
336,2.54923e+97
337,2.58399e+97
338,2.61939e+97
339,2.65459e+97
340,2.6889e+97
341,2.72172e+97
342,2.75257e+97
343,2.78111e+97
344,2.80705e+97
345,2.8302e+97
346,2.85044e+97
347,2.86767e+97
348,2.88185e+97
349,2.89293e+97
350,2.90092e+97
351,2.90581e+97
352,2.90764e+97
353,2.90648e+97
354,2.90247e+97
355,2.89578e+97
356,2.88668e+97
357,2.87555e+97
358,2.86283e+97
359,2.84914e+97
360,2.83516e+97
361,2.82175e+97
362,2.80985e+97
363,2.80053e+97
364,2.79495e+97
365,2.79433e+97
366,2.79991e+97
367,2.81292e+97
368,2.83452e+97
369,2.86573e+97
370,2.90739e+97
371,2.96011e+97
372,3.02418e+97
373,3.09958e+97
374,3.18592e+97
375,3.28248e+97
376,3.38815e+97
377,3.50155e+97
378,3.62102e+97
379,3.74474e+97
380,3.87078e+97
381,3.99718e+97
382,4.1221e+97
383,4.24382e+97
384,4.36089e+97
385,4.47216e+97
386,4.57678e+97
387,4.67427e+97
388,4.7645e+97
389,4.84764e+97
390,4.92412e+97
391,4.99455e+97
392,5.05969e+97
393,5.12028e+97
394,5.17705e+97
395,5.23055e+97
396,5.28117e+97
397,5.32899e+97
398,5.37383e+97
399,5.41519e+97
400,5.45224e+97
401,5.4839e+97
402,5.50884e+97
403,5.52554e+97
404,5.5324e+97
405,5.52777e+97
406,5.51006e+97
407,5.47781e+97
408,5.42975e+97
409,5.36491e+97
410,5.28262e+97
411,5.18255e+97
412,5.0648e+97
413,4.9298e+97
414,4.7784e+97
415,4.61177e+97
416,4.43141e+97
417,4.23908e+97
418,4.03675e+97
419,3.82655e+97
420,3.61071e+97
421,3.39145e+97
422,3.171e+97
423,2.95148e+97
424,2.73492e+97
425,2.52313e+97
426,2.31777e+97
427,2.12026e+97
428,1.93178e+97
429,1.75329e+97
430,1.5855e+97
431,1.42892e+97
432,1.28381e+97
433,1.15026e+97
434,1.02817e+97
